order_id,amount,decline_code,decline_category,ground_truth_recoverable,timestamp
ord_25d774f4,21079.95,OTHER,OTHER,0,2026-07-27T02:24:09.742444
ord_0de0a19e,9200.76,OTHER,OTHER,0,2026-08-07T02:24:09.742444
ord_5400d73b,6323.3,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,0,2026-08-14T02:24:09.742444
ord_091fc49a,16543.74,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-11T02:24:09.742444
ord_683cf361,40438.4,OTHER,OTHER,0,2026-07-26T02:24:09.742444
ord_fcd1d012,49619.99,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-07-30T02:24:09.742444
ord_ce7f19f6,32335.57,ISSUER_TIMEOUT,ISSUER_TIMEOUT,1,2026-08-11T02:24:09.742444
ord_35275f66,45906.84,OTHER,OTHER,0,2026-07-31T02:24:09.742444
ord_a17dcaf8,15747.26,OTHER,OTHER,0,2026-07-26T02:24:09.742444
ord_16b21cc4,25548.09,RISK_BLOCK,RISK_BLOCK,0,2026-07-23T02:24:09.742444
ord_b62c2851,15916.08,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-03T02:24:09.742444
ord_9e476cc0,39733.78,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-06T02:24:09.742444
ord_0c44360a,39063.29,EXPIRED_CARD,EXPIRED_CARD,0,2026-08-13T02:24:09.742444
ord_7344bf38,1346.97,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-12T02:24:09.742444
ord_d91031e0,22140.16,RISK_BLOCK,RISK_BLOCK,1,2026-08-13T02:24:09.742444
ord_74ff8ea0,25284.27,RISK_BLOCK,RISK_BLOCK,0,2026-07-31T02:24:09.742444
ord_03419731,18111.95,ISSUER_TIMEOUT,ISSUER_TIMEOUT,0,2026-07-25T02:24:09.742444
ord_e1fd28ce,44044.96,OTHER,OTHER,1,2026-08-01T02:24:09.742444
ord_0defdcc7,10247.42,OTHER,OTHER,1,2026-07-24T02:24:09.742444
ord_77219b28,24970.94,ISSUER_TIMEOUT,ISSUER_TIMEOUT,1,2026-08-14T02:24:09.742444
ord_76a601ee,9863.84,EXPIRED_CARD,EXPIRED_CARD,0,2026-08-06T02:24:09.742444
ord_2f64d3b3,35269.77,OTHER,OTHER,0,2026-07-26T02:24:09.742444
ord_31f992c9,24849.37,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-18T02:24:09.742444
ord_e9c959ac,43403.14,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-06T02:24:09.742444
ord_9d0b72c7,7526.9,ISSUER_TIMEOUT,ISSUER_TIMEOUT,0,2026-08-02T02:24:09.742444
ord_78076aa6,13477.16,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-07-24T02:24:09.742444
ord_d54873a9,26504.3,EXPIRED_CARD,EXPIRED_CARD,0,2026-08-04T02:24:09.742444
ord_3aa49f2e,41056.1,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-21T02:24:09.742444
ord_14b4069f,32791.15,ISSUER_TIMEOUT,ISSUER_TIMEOUT,1,2026-08-08T02:24:09.746744
ord_54a65f41,31487.26,EXPIRED_CARD,EXPIRED_CARD,0,2026-07-27T02:24:09.746744
ord_7fbb7e7e,18825.32,OTHER,OTHER,0,2026-08-08T02:24:09.746744
ord_edeb0837,31661.26,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-16T02:24:09.746744
ord_a1584c51,27092.12,EXPIRED_CARD,EXPIRED_CARD,0,2026-08-01T02:24:09.746744
ord_034305ac,39597.08,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,0,2026-08-19T02:24:09.746744
ord_e77a3ef4,25515.91,EXPIRED_CARD,EXPIRED_CARD,0,2026-08-01T02:24:09.746744
ord_d3c94dc7,27963.06,ISSUER_TIMEOUT,ISSUER_TIMEOUT,0,2026-08-02T02:24:09.746744
ord_2eed3b01,8897.27,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-05T02:24:09.746744
ord_803fb122,9260.64,RISK_BLOCK,RISK_BLOCK,1,2026-08-04T02:24:09.746744
ord_429c1422,8472.04,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-19T02:24:09.746744
ord_cf6f5c38,26513.62,OTHER,OTHER,0,2026-08-08T02:24:09.746744
ord_92096e90,11066.52,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-17T02:24:09.746744
ord_dd06b9d7,34753.02,RISK_BLOCK,RISK_BLOCK,0,2026-07-26T02:24:09.746744
ord_4662ace2,19348.44,RISK_BLOCK,RISK_BLOCK,0,2026-08-10T02:24:09.746744
ord_e45cce7e,48519.74,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,0,2026-08-10T02:24:09.746744
ord_3438e52e,9958.24,EXPIRED_CARD,EXPIRED_CARD,0,2026-08-19T02:24:09.746744
ord_d957ddd4,25965.31,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-07-29T02:24:09.746744
ord_66463c45,12251.37,OTHER,OTHER,0,2026-08-11T02:24:09.746744
ord_1dd66b86,41301.41,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-18T02:24:09.746744
ord_5c5a57b8,43391.69,ISSUER_TIMEOUT,ISSUER_TIMEOUT,1,2026-08-05T02:24:09.746744
ord_c71f5d8e,43925.54,RISK_BLOCK,RISK_BLOCK,1,2026-08-22T02:24:09.746744
ord_522f4783,24355.09,ISSUER_TIMEOUT,ISSUER_TIMEOUT,1,2026-07-28T02:24:09.746744
ord_5937fc0d,48365.97,OTHER,OTHER,0,2026-08-12T02:24:09.746744
ord_f6dd74a8,21681.96,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,0,2026-07-28T02:24:09.746744
ord_c260bf60,4831.91,OTHER,OTHER,1,2026-07-30T02:24:09.746744
ord_3998f660,10611.44,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-07T02:24:09.746744
ord_adcf5618,14719.13,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,0,2026-08-08T02:24:09.746744
ord_2e5db8e6,27656.83,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,0,2026-07-25T02:24:09.746744
ord_03c44d8d,7180.71,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-15T02:24:09.746744
ord_720a8de3,13368.15,EXPIRED_CARD,EXPIRED_CARD,0,2026-08-12T02:24:09.746744
ord_459d2205,7607.2,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-07-30T02:24:09.746744
ord_e3f42f16,42255.18,EXPIRED_CARD,EXPIRED_CARD,0,2026-07-27T02:24:09.746744
ord_fc1d0c6f,6955.59,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,0,2026-08-20T02:24:09.746744
ord_fd650e20,29517.18,RISK_BLOCK,RISK_BLOCK,0,2026-08-16T02:24:09.746744
ord_7123e6ae,19239.94,OTHER,OTHER,1,2026-07-31T02:24:09.746744
ord_02466720,34466.32,ISSUER_TIMEOUT,ISSUER_TIMEOUT,1,2026-07-28T02:24:09.746744
ord_ab8ebea7,12934.86,ISSUER_TIMEOUT,ISSUER_TIMEOUT,1,2026-08-19T02:24:09.746744
ord_9ee557a4,31928.05,OTHER,OTHER,0,2026-07-27T02:24:09.746744
ord_0e3acba9,42072.46,ISSUER_TIMEOUT,ISSUER_TIMEOUT,1,2026-07-27T02:24:09.746744
ord_7dbe9251,30135.74,RISK_BLOCK,RISK_BLOCK,0,2026-08-12T02:24:09.746744
ord_aca6c650,14194.1,OTHER,OTHER,0,2026-08-15T02:24:09.746744
ord_ecae7afe,10951.28,ISSUER_TIMEOUT,ISSUER_TIMEOUT,0,2026-07-23T02:24:09.746744
ord_56a94e8f,26837.38,RISK_BLOCK,RISK_BLOCK,0,2026-08-13T02:24:09.746744
ord_13dd4951,2035.64,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-01T02:24:09.746744
ord_1cdac3b8,27095.98,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-14T02:24:09.746744
ord_9e90fdc3,1792.07,OTHER,OTHER,1,2026-08-11T02:24:09.746744
ord_34f79f8e,41070.47,OTHER,OTHER,0,2026-07-25T02:24:09.746744
ord_59d4a9a5,18112.83,ISSUER_TIMEOUT,ISSUER_TIMEOUT,1,2026-08-08T02:24:09.746744
ord_3e2dc1f4,26978.16,EXPIRED_CARD,EXPIRED_CARD,0,2026-08-13T02:24:09.746744
ord_460cb28f,25166.75,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-22T02:24:09.746744
ord_7954ae0a,22715.49,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-01T02:24:09.746744
ord_ed3ce13b,9993.44,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-06T02:24:09.746744
ord_f4efddbc,39020.28,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-01T02:24:09.746744
ord_583b1bff,22076.85,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-14T02:24:09.746744
ord_dd733959,19273.75,OTHER,OTHER,0,2026-08-12T02:24:09.746744
ord_fbed921d,11692.36,RISK_BLOCK,RISK_BLOCK,0,2026-08-12T02:24:09.746744
ord_2063e6eb,41244.36,EXPIRED_CARD,EXPIRED_CARD,1,2026-08-09T02:24:09.746744
ord_0a4e1d65,19231.51,EXPIRED_CARD,EXPIRED_CARD,0,2026-07-28T02:24:09.746744
ord_07f75326,43989.25,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-10T02:24:09.746744
ord_ef983023,1436.7,OTHER,OTHER,0,2026-08-12T02:24:09.746744
ord_bbcbde16,47021.06,EXPIRED_CARD,EXPIRED_CARD,1,2026-08-06T02:24:09.746744
ord_50fe9a44,37673.64,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-15T02:24:09.746744
ord_f91af28e,47475.5,OTHER,OTHER,1,2026-08-12T02:24:09.746744
ord_02fef4ef,15528.94,OTHER,OTHER,1,2026-08-18T02:24:09.746744
ord_f6a594c8,12119.59,RISK_BLOCK,RISK_BLOCK,1,2026-08-14T02:24:09.746744
ord_641560b4,7895.63,ISSUER_TIMEOUT,ISSUER_TIMEOUT,1,2026-08-07T02:24:09.746744
ord_c5663075,30117.62,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-07-24T02:24:09.746744
ord_277674c3,22088.78,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,0,2026-08-05T02:24:09.746744
ord_333c41e1,12117.05,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-21T02:24:09.746744
ord_326afe89,48656.56,OTHER,OTHER,0,2026-08-08T02:24:09.746744
ord_c8e61574,15849.78,OTHER,OTHER,0,2026-08-11T02:24:09.746744
ord_6153d8c7,18270.43,RISK_BLOCK,RISK_BLOCK,0,2026-07-28T02:24:09.746744
ord_48d33ce6,16220.88,ISSUER_TIMEOUT,ISSUER_TIMEOUT,1,2026-08-03T02:24:09.746744
ord_3da1868a,35235.64,OTHER,OTHER,0,2026-07-31T02:24:09.746744
ord_01edf6d0,18876.81,ISSUER_TIMEOUT,ISSUER_TIMEOUT,0,2026-08-15T02:24:09.746744
ord_1c54272a,21385.97,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-08-17T02:24:09.746744
ord_3b807b6d,17069.69,RISK_BLOCK,RISK_BLOCK,1,2026-08-03T02:24:09.746744
ord_09c66dc8,47983.7,EXPIRED_CARD,EXPIRED_CARD,0,2026-07-30T02:24:09.746744
ord_876ea1eb,49988.46,INSUFFICIENT_FUNDS,INSUFFICIENT_FUNDS,1,2026-07-28T02:24:09.746744
